assetId,category,entityName,usage,priority,currentState,mockImplementation,targetFilePath,fileFormat,width,height,transparentBackground,cameraAngle,requiredDirections,frameCount,anchorX,anchorY,atlasGroup,mobileReadabilityNotes,styleNotes,promptSubjectNotes,negativeRequirements,replacementInstructions
"""hero.robot_jelly.portrait""","""hero""","""Robot Jelly""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/robot_jelly/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Robot Jelly design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/robot_jelly/portrait.webp; retain this Asset ID and registry entry."""
"""hero.robot_jelly.icon""","""hero""","""Robot Jelly""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/robot_jelly/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Robot Jelly design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/robot_jelly/icon.webp; retain this Asset ID and registry entry."""
"""hero.robot_jelly.collection_card""","""hero""","""Robot Jelly""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/robot_jelly/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Robot Jelly design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/robot_jelly/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.robot_jelly.world""","""hero""","""Robot Jelly""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/robot_jelly/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Robot Jelly design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/robot_jelly/world.webp; retain this Asset ID and registry entry."""
"""hero.robot_jelly.silhouette""","""hero""","""Robot Jelly""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/robot_jelly/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Robot Jelly design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/robot_jelly/silhouette.webp; retain this Asset ID and registry entry."""
"""hero.tofu_rabbit.portrait""","""hero""","""Tofu Foam Rabbit""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/tofu_rabbit/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Tofu Foam Rabbit design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/tofu_rabbit/portrait.webp; retain this Asset ID and registry entry."""
"""hero.tofu_rabbit.icon""","""hero""","""Tofu Foam Rabbit""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/tofu_rabbit/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Tofu Foam Rabbit design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/tofu_rabbit/icon.webp; retain this Asset ID and registry entry."""
"""hero.tofu_rabbit.collection_card""","""hero""","""Tofu Foam Rabbit""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/tofu_rabbit/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Tofu Foam Rabbit design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/tofu_rabbit/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.tofu_rabbit.world""","""hero""","""Tofu Foam Rabbit""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/tofu_rabbit/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Tofu Foam Rabbit design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/tofu_rabbit/world.webp; retain this Asset ID and registry entry."""
"""hero.tofu_rabbit.silhouette""","""hero""","""Tofu Foam Rabbit""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/tofu_rabbit/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Tofu Foam Rabbit design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/tofu_rabbit/silhouette.webp; retain this Asset ID and registry entry."""
"""hero.accountant_octopus.portrait""","""hero""","""Accountant Octopus""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/accountant_octopus/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Accountant Octopus design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/accountant_octopus/portrait.webp; retain this Asset ID and registry entry."""
"""hero.accountant_octopus.icon""","""hero""","""Accountant Octopus""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/accountant_octopus/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Accountant Octopus design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/accountant_octopus/icon.webp; retain this Asset ID and registry entry."""
"""hero.accountant_octopus.collection_card""","""hero""","""Accountant Octopus""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/accountant_octopus/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Accountant Octopus design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/accountant_octopus/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.accountant_octopus.world""","""hero""","""Accountant Octopus""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/accountant_octopus/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Accountant Octopus design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/accountant_octopus/world.webp; retain this Asset ID and registry entry."""
"""hero.accountant_octopus.silhouette""","""hero""","""Accountant Octopus""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/accountant_octopus/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Accountant Octopus design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/accountant_octopus/silhouette.webp; retain this Asset ID and registry entry."""
"""hero.samurai_bread.portrait""","""hero""","""Samurai Bread""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/samurai_bread/portrait.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Samurai Bread design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/samurai_bread/portrait.webp; retain this Asset ID and registry entry."""
"""hero.samurai_bread.icon""","""hero""","""Samurai Bread""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/samurai_bread/icon.webp""","""webp""","128","128","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Samurai Bread design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/samurai_bread/icon.webp; retain this Asset ID and registry entry."""
"""hero.samurai_bread.collection_card""","""hero""","""Samurai Bread""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P0""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/samurai_bread/collection_card.webp""","""webp""","640","800","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Samurai Bread design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/samurai_bread/collection_card.webp; retain this Asset ID and registry entry."""
"""hero.samurai_bread.world""","""hero""","""Samurai Bread""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P1""","""mock""","""CSS shape and project-authored glyph""","""/assets/game/heroes/samurai_bread/world.webp""","""webp""","96","96","true","""orthographic three-quarter top-down""","[""right""]","1","0.5","0.82","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Samurai Bread design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/game/heroes/samurai_bread/world.webp; retain this Asset ID and registry entry."""
"""hero.samurai_bread.silhouette""","""hero""","""Samurai Bread""","[""Collection"",""Hero Detail"",""Team Builder"",""Combat""]","""P2""","""mock""","""CSS shape and project-authored glyph""","""/assets/final/hero/samurai_bread/silhouette.webp""","""webp""","512","512","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Original Samurai Bread design; preserve the approved gameplay silhouette.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/hero/samurai_bread/silhouette.webp; retain this Asset ID and registry entry."""
"""ui.rarity.common_frame""","""ui""","null","[""Persistent UI""]","""P2""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/rarity/common_frame.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/rarity/common_frame.webp; retain this Asset ID and registry entry."""
"""ui.rarity.rare_frame""","""ui""","null","[""Persistent UI""]","""P2""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/rarity/rare_frame.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/rarity/rare_frame.webp; retain this Asset ID and registry entry."""
"""ui.rarity.epic_frame""","""ui""","null","[""Persistent UI""]","""P2""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/rarity/epic_frame.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/rarity/epic_frame.webp; retain this Asset ID and registry entry."""
"""ui.rarity.legendary_frame""","""ui""","null","[""Persistent UI""]","""P2""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/rarity/legendary_frame.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/rarity/legendary_frame.webp; retain this Asset ID and registry entry."""
"""item.gold""","""currency""","null","[""Home"",""HUD"",""Rewards""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/item/gold.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/item/gold.webp; retain this Asset ID and registry entry."""
"""item.gem""","""currency""","null","[""Home"",""HUD"",""Rewards""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/item/gem.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/item/gem.webp; retain this Asset ID and registry entry."""
"""item.upgrade_jelly""","""currency""","null","[""Home"",""HUD"",""Rewards""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/item/upgrade_jelly.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/item/upgrade_jelly.webp; retain this Asset ID and registry entry."""
"""item.hero_shard""","""currency""","null","[""Home"",""HUD"",""Rewards""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/item/hero_shard.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/item/hero_shard.webp; retain this Asset ID and registry entry."""
"""ui.summon.shrine""","""summon""","null","[""Summon""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/summon/shrine.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/summon/shrine.webp; retain this Asset ID and registry entry."""
"""ui.summon.capsule""","""summon""","null","[""Summon""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/summon/capsule.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/summon/capsule.webp; retain this Asset ID and registry entry."""
"""ui.summon.reveal_glow""","""vfx""","null","[""Summon""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/summon/reveal_glow.webp""","""webp""","512","512","true","null","[]","8","0.5","0.5","""vfx.floor_1""","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/summon/reveal_glow.webp; retain this Asset ID and registry entry."""
"""ui.summon.new_badge""","""summon""","null","[""Summon""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/summon/new_badge.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/summon/new_badge.webp; retain this Asset ID and registry entry."""
"""ui.summon.duplicate_badge""","""summon""","null","[""Summon""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/summon/duplicate_badge.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/summon/duplicate_badge.webp; retain this Asset ID and registry entry."""
"""ui.team.slot_empty""","""ui""","null","[""Team Builder""]","""P0""","""mock""","""Project-authored glyph/CSS primitive""","""/assets/final/ui/team/slot_empty.webp""","""webp""","256","256","true","null","[]","1","null","null","null","""Preserve a clear silhouette and readable contrast at 48 CSS pixels.""","""Cute pastel sticker style, chocolate outline, original Odd Tower design language.""","""Match the named UI function without adding text baked into the image.""","[""no copyrighted characters"",""no photorealism"",""no baked UI text"",""no unsafe edge crop""]","""Export to /assets/final/ui/team/slot_empty.webp; retain this Asset ID and registry entry."""
